date,hour,minute,coin,volume,avg_price
2017-09-03,11,2,qtum,468.68359999999996,18036.586763437
2017-09-03,11,3,bch,2.1498000000000004,639778.53753837547
2017-09-03,11,3,btc,2.2993999999999994,5098163.7383665312
2017-09-03,11,3,etc,1033.6075,21550.916803525517
2017-09-03,11,3,eth,47.796200000000006,386473.02881819051
2017-09-03,11,3,qtum,1657.9204999999997,18020.18958146666
2017-09-03,11,3,xrp,45998.316399999996,251.00000000000003
2017-09-03,11,4,btc,0.3294,5095500
2017-09-03,11,4,etc,38.8106,21529.617424105789
2017-09-03,11,4,eth,68.70320000000001,385877.98486824479
2017-09-03,11,4,qtum,6779.9536000000007,17999.987342391247
2017-09-03,11,5,bch,0.9983,639000
2017-09-03,11,5,etc,5.158599999999999,21476.840809521967
2017-09-03,11,5,eth,71.661300000000011,385776.31559851684
2017-09-03,11,5,qtum,216.7101,17975.511976599155
2017-09-03,11,6,btc,2.2998000000000003,5099620.5322201923
2017-09-03,11,6,etc,0.01,21470
2017-09-03,11,6,eth,261.65619999999979,385513.91918097134
2017-09-03,11,6,qtum,506.9868,17968.875710373519
2017-09-03,11,6,xrp,1151.7811,251.00086822053254
2017-09-03,11,7,bch,0.3421,643400
2017-09-03,11,7,btc,4.2599000000000018,5104133.266039107
2017-09-03,11,7,eth,8.9999999999999964,385582.22222222236
2017-09-03,11,7,qtum,1523.3812000000003,17963.84414485356
2017-09-03,11,7,xrp,12.75,252
2017-09-03,11,8,bch,4.6549,643400
2017-09-03,11,8,etc,50,21590
2017-09-03,11,8,eth,81.938200000000009,385114.79011010728
2017-09-03,11,8,qtum,470.221,17943.30444620721
2017-09-03,11,9,bch,0.3481,643000
2017-09-03,11,9,btc,0.30219999999999997,5104116.47915288
2017-09-03,11,9,etc,60,21580
2017-09-03,11,9,eth,10.209999999999999,385600.24485798244
2017-09-03,11,9,qtum,601.1933,17913.309813998258
2017-09-03,11,9,xrp,10000,251
2017-09-03,11,10,bch,3.4737999999999998,642940.16926708492
2017-09-03,11,10,btc,1.8274000000000001,5103644.6317171939
2017-09-03,11,10,etc,738.0857000000002,21605.828674095697
2017-09-03,11,10,eth,123.82200000000002,385921.67979034415
2017-09-03,11,10,qtum,1769.5290999999997,17902.382297075535
2017-09-03,11,10,xrp,201000.7344,251.99502124008157
2017-09-03,11,11,bch,17.551000000000002,642903.17588741379
2017-09-03,11,11,btc,2.9304,5101250.8872508872
2017-09-03,11,11,etc,709.39709999999991,21648.749769346396
2017-09-03,11,11,eth,10.4722,385722.4351139206
2017-09-03,11,11,qtum,1077.2468,17895.511573578126
2017-09-03,11,11,xrp,32514.4031,252
2017-09-03,11,12,bch,0.562,642999.99999999988
2017-09-03,11,12,btc,0.88850000000000007,5105000
2017-09-03,11,12,etc,21.779200000000003,21587.36923302968
2017-09-03,11,12,eth,41.349199999999996,385671.70827972487
2017-09-03,11,12,qtum,3384.2327999999998,17886.402600317568
2017-09-03,11,12,xrp,78605.0908,252.97455635532447
2017-09-03,11,13,bch,2.7689,641616.103867962
2017-09-03,11,13,btc,0.90599999999999992,5100542.1633554082
2017-09-03,11,13,etc,1,21630
2017-09-03,11,13,eth,23,385517.39130434784
2017-09-03,11,13,qtum,1225.0729,17906.374117001527
2017-09-03,11,13,xrp,500,252
2017-09-03,11,14,bch,8.6777,640234.29019210162
2017-09-03,11,14,btc,1.5711,5103643.211762459
2017-09-03,11,14,etc,141.51209999999998,21518.737874711776
2017-09-03,11,14,eth,21.601799999999997,385426.84753122425
2017-09-03,11,14,qtum,1516.8081,17933.654836758848
2017-09-03,11,15,bch,20.7961,642942.73205072107
2017-09-03,11,15,btc,0.86440000000000006,5104974.8380379453
2017-09-03,11,15,etc,72.264299999999992,21540.635555869219
2017-09-03,11,15,eth,71.2212,385265.04720504576
2017-09-03,11,15,qtum,99.7592,17930
2017-09-03,11,15,xrp,143383.7554,252
2017-09-03,11,16,bch,2.8449999999999998,643027.55711775052
2017-09-03,11,16,btc,0.039900000000000005,5106002.5062656635
2017-09-03,11,16,etc,68.242,21580
2017-09-03,11,16,eth,34.0646,385388.05886462785
2017-09-03,11,16,qtum,280.42269999999996,17945.301596482739
2017-09-03,11,17,btc,4.2357,5109104.7996789208
2017-09-03,11,17,etc,574.3537,21580.870543708523
2017-09-03,11,17,eth,145.7462,385042.70382349595
2017-09-03,11,17,qtum,537.54599999999994,17941.873914046424
2017-09-03,11,17,xrp,165002.6094,252.00000000000003
2017-09-03,11,18,btc,1.3377000000000001,5108500
2017-09-03,11,18,etc,0.3914,21580
2017-09-03,11,18,eth,92.4423,384996.65375050163
2017-09-03,11,18,qtum,1899.1685,17946.427096911091
2017-09-03,11,18,xrp,70860.5726,251.99999999999997
2017-09-03,11,19,btc,3.9486,5107309.8566580564
2017-09-03,11,19,etc,12.9988,21508.077668707883
2017-09-03,11,19,eth,100.8811,385040.53623523138
